name,pos,ang,sca,type,shopid,messeageid,showtitle
villager1.X,-102.29/122.76/175.73,0.000000/-0.358286/0.000000/0.933612,0.4/0.4/0.4,0,-1,27,1
villager1.X,-86.8/122.76/182.8,0.000000/-0.999997/0.000000/0.002459,0.4000002/0.4/0.4000002,0,-1,29,1
villager1.X,-78.91/122.76/160.14,0.000000/-0.705366/0.000000/0.708843,0.4000001/0.4/0.4000001,0,-1,91,1
villager1.X,-76.8/122.76/219.5,0.000000/-0.705366/0.000000/0.708843,0.4000001/0.4/0.4000001,0,-1,28,1
villager1.X,-78.88/122.76/185.65,0.000000/-0.705366/0.000000/0.708843,0.4000001/0.4/0.4000001,1,10,90,1
villager1.X,-112.7/122.76/205.9,0.000000/-0.983647/0.000000/-0.180110,0.4/0.4/0.4,0,-1,86,1
villager1.X,-166.59/122.76/213.66,0.000000/0.415219/0.000000/0.909721,0.4/0.4/0.4,0,-1,85,1
villager1.X,-139.6/122.76/199.1,0.000000/0.914527/0.000000/0.404524,0.4/0.4/0.4,0,-1,78,1
villager1.X,-153.4/122.76/205,0.000000/-0.705366/0.000000/0.708843,0.4000001/0.4/0.4000001,0,-1,65,1
villager1.X,-197.19/122.43/176.53,0.000000/0.910075/0.000000/0.414445,0.2500001/0.25/0.2500001,0,-1,40,1
villager1.X,-196.25/122.43/174.91,0.000000/0.052336/0.000000/-0.998630,0.25/0.25/0.25,0,-1,82,1
villager1.X,-223/122.76/160.9,0.000000/-0.999997/0.000000/0.002459,0.4000002/0.4/0.4000002,0,-1,83,1
villager1.X,-222.7/122.76/139.4,0.003796/-0.736901/-0.007852/-0.675945,0.4000001/0.4/0.4000001,0,-1,84,1
villager1.X,-177/122.76/167.5,-0.006845/-0.814463/-0.005404/0.580151,0.4000002/0.4/0.4000002,0,-1,52,1
villager1.X,-195.36/122.43/176.4,0.000000/0.819533/0.000000/-0.573031,0.25/0.25/0.25,0,-1,64,1
villager1.X,-199/122.43/153.2,-0.007951/-0.655913/-0.003584/0.754786,0.2500001/0.25/0.25,0,-1,77,1
villager1.X,-212.7/122.76/183.8,0.000000/-0.999997/0.000000/0.002459,0.4000002/0.4/0.4000002,1,10,12,1
LastBoss.X,-235.4/221/102.5,0.000000/-0.999997/0.000000/0.002459,0.4000004/0.4/0.4000004,0,-1,25,1
villager1.X,-209.1181/122.76/181.7065,0.000000/0.497707/0.000000/-0.867346,0.4000004/0.4/0.4000004,0,-1,95,1
villager1.X,-213.9808/122.43/172.7096,0.000000/0.400432/0.000000/-0.916326,0.25/0.25/0.25,0,-1,96,1
villager1.X,-149.02/122.76/140.04,0.000000/-0.999997/0.000000/0.002459,0.4000004/0.4/0.4000004,0,-1,93,1
villager1.X,-144.17/122.76/140.04,0.000000/-0.999997/0.000000/0.002459,0.4000004/0.4/0.4000004,0,-1,94,1
villager1 (1).X,-99.7708/122.76/180.3077,0.000000/0.642393/0.000000/0.766376,0.3999999/0.4/0.3999999,0,-1,97,1
