name,pos,ang,sca,coll
Building_A.X,-108.81/57.11/559.3,-0.707107/0.000000/0.000000/0.707107,1/1/1,0,0
coll,-4.19/6.35/-1.94,0.707107/0.000000/0.000000/0.707107,11.8/4.000001/6.400002,1,1
coll,0.02/1.86/-2.04,0.707107/0.000000/0.000000/0.707107,3.5/4.000001/4.000001,1,1
coll,-0.86/2.63/-4.72,0.648478/0.281916/-0.281916/0.648478,3/0.5000001/6.000001,1,1
coll,0.78/2.630005/-4.811997,0.649083/-0.279074/0.280282/0.649808,2.8/0.5000001/6.000001,1,1
coll,-4.19/7.95/-4.69,0.435182/0.000000/0.000000/0.900343,11.8/1/4.800001,1,1
coll,-4.19/4.81/-4.65,-0.435184/0.000000/0.000000/0.900342,11.8/1.000001/4.800003,1,1
Building_A.X,-125.5/55.92/559.3,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
coll,-4.19/6.35/-1.94,0.707107/0.000000/0.000000/0.707107,11.8/4.000003/6.400005,1,1
coll,0.02/1.86/-2.04,0.707107/0.000000/0.000000/0.707107,3.5/4.000003/4.000003,1,1
coll,-0.86/2.63/-4.72,0.648478/0.281916/-0.281916/0.648478,3.000001/0.5000002/6.000004,1,1
coll,0.78/2.630005/-4.811997,0.649083/-0.279074/0.280282/0.649808,2.800001/0.5000002/6.000004,1,1
coll,-4.19/7.95/-4.69,0.435182/0.000000/0.000000/0.900343,11.8/1.000001/4.800004,1,1
coll,-4.19/4.81/-4.65,-0.435184/0.000000/0.000000/0.900342,11.8/1.000001/4.800005,1,1
Building_A.X,-91.1/57.2/559.3,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
coll,-4.19/6.35/-1.94,0.707107/0.000000/0.000000/0.707107,11.8/4.000003/6.400005,1,1
coll,0.02/1.86/-2.04,0.707107/0.000000/0.000000/0.707107,3.5/4.000003/4.000003,1,1
coll,-0.86/2.63/-4.72,0.648478/0.281916/-0.281916/0.648478,3.000001/0.5000002/6.000004,1,1
coll,0.78/2.630005/-4.811997,0.649083/-0.279074/0.280282/0.649808,2.800001/0.5000002/6.000004,1,1
coll,-4.19/7.95/-4.69,0.435182/0.000000/0.000000/0.900343,11.8/1.000001/4.800004,1,1
coll,-4.19/4.81/-4.65,-0.435184/0.000000/0.000000/0.900342,11.8/1.000001/4.800005,1,1
Building_A.X,-70.7/57.8/559.3,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
coll,-4.19/6.35/-1.94,0.707107/0.000000/0.000000/0.707107,11.8/4.000003/6.400005,1,1
coll,0.02/1.86/-2.04,0.707107/0.000000/0.000000/0.707107,3.5/4.000003/4.000003,1,1
coll,-0.86/2.63/-4.72,0.648478/0.281916/-0.281916/0.648478,3.000001/0.5000002/6.000004,1,1
coll,0.78/2.630005/-4.811997,0.649083/-0.279074/0.280282/0.649808,2.800001/0.5000002/6.000004,1,1
coll,-4.19/7.95/-4.69,0.435182/0.000000/0.000000/0.900343,11.8/1.000001/4.800004,1,1
coll,-4.19/4.81/-4.65,-0.435184/0.000000/0.000000/0.900342,11.8/1.000001/4.800005,1,1
Building_A.X,-50.8/57.7/559.3,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
coll,-4.19/6.35/-1.94,0.707107/0.000000/0.000000/0.707107,11.8/4.000003/6.400005,1,1
coll,0.02/1.86/-2.04,0.707107/0.000000/0.000000/0.707107,3.5/4.000003/4.000003,1,1
coll,-0.86/2.63/-4.72,0.648478/0.281916/-0.281916/0.648478,3.000001/0.5000002/6.000004,1,1
coll,0.78/2.630005/-4.811997,0.649083/-0.279074/0.280282/0.649808,2.800001/0.5000002/6.000004,1,1
coll,-4.19/7.95/-4.69,0.435182/0.000000/0.000000/0.900343,11.8/1.000001/4.800004,1,1
coll,-4.19/4.81/-4.65,-0.435184/0.000000/0.000000/0.900342,11.8/1.000001/4.800005,1,1
