name,pos,ang,sca,coll
Building_A.X,-108.81/57.12/559.9399,-0.7071068/0/0/0.7071068,1/1/1,0,0
coll,-4.19/6.35/-1.94,0/0/0/1,11.8/4.000001/6.400002,1,1
coll,0.02/1.86/-2.04,0/0/0/1,3.5/4.000001/4.000001,1,1
coll,-0.86/2.63/-4.72,0/0/-0.3986893/0.9170861,3/0.5000001/6.000001,1,1
coll,0.78/2.630005/-4.811997,-0.0005123317/0.0008545369/0.3955244/0.918455,2.8/0.5000001/6.000001,1,1
coll,-4.19/7.95/-4.69,-0.328918/0/0/0.9443586,11.8/1/4.800001,1,1
coll,-4.19/4.81/-4.65,-0.9443592/0/0/0.328916,11.8/1.000001/4.800003,1,1
Building_A.X,-91.1/57.63/559.9399,-0.7071068/0/0/0.7071068,1/1/1,0,0
coll,-4.19/6.35/-1.94,0/0/0/1,11.8/4.000001/6.400002,1,1
coll,0.02/1.86/-2.04,0/0/0/1,3.5/4.000001/4.000001,1,1
coll,-0.86/2.63/-4.72,0/0/-0.3986893/0.9170861,3/0.5000001/6.000001,1,1
coll,0.78/2.630005/-4.811997,-0.0005123317/0.0008545369/0.3955244/0.918455,2.8/0.5000001/6.000001,1,1
coll,-4.19/7.95/-4.69,-0.328918/0/0/0.9443586,11.8/1/4.800001,1,1
coll,-4.19/4.81/-4.65,-0.9443592/0/0/0.328916,11.8/1.000001/4.800003,1,1
Building_A.X,-50.8/58.05/559.9399,-0.7071068/0/0/0.7071068,1/1/1,0,0
coll,-4.19/6.35/-1.94,0/0/0/1,11.8/4.000001/6.400002,1,1
coll,0.02/1.86/-2.04,0/0/0/1,3.5/4.000001/4.000001,1,1
coll,-0.86/2.63/-4.72,0/0/-0.3986893/0.9170861,3/0.5000001/6.000001,1,1
coll,0.78/2.630005/-4.811997,-0.0005123317/0.0008545369/0.3955244/0.918455,2.8/0.5000001/6.000001,1,1
coll,-4.19/7.95/-4.69,-0.328918/0/0/0.9443586,11.8/1/4.800001,1,1
coll,-4.19/4.81/-4.65,-0.9443592/0/0/0.328916,11.8/1.000001/4.800003,1,1
Building_A.X,-50.5/55.81/534.54,-0.5/0.5/0.5/0.5,1/1/1,0,0
coll,-4.19/6.35/-1.94,0/0.7071068/0/0.7071068,11.8/4/6.400002,1,1
coll,0.02/1.86/-2.04,0/0.7071068/0/0.7071068,3.5/4/4.000001,1,1
