name,pos,ang,sca,hitCamera,coll
Bridge.X,228.3/53.2/94.01927,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.50001/5.000001,1,1
Bridge.X,228.3/53.2/94.97,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
Bridge.X,228.3/53.2/63.62927,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.50001/5.000001,1,1
Bridge.X,228.3/53.2/64.58,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
Bridge.X,228.3/53.2/33.23,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.50001/5.000001,1,1
Bridge.X,228.3/53.2/34.18073,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
1st_ie_small.X,192.999/65/-53.4,-0.133657/-0.285978/0.040319/0.948012,0.9999999/1/0.9999999,0,1
1st_ie_small.X,244.55/66.77/-45.54,-0.405711/0.428905/-0.554645/0.586353,1/1/1,0,1
