name,pos,ang,sca,type,shopid,messeageid,showtitle
villager1.X,200.9995/66.71/-67.764,0.000000/0.699590/0.000000/0.714545,0.4/0.4/0.4,0,-1,30,1
villager1.X,204.3/66.71/-54.3,0.000000/0.699590/0.000000/0.714545,0.4/0.4/0.4,0,-1,30,1
villager1.X,208.1/66.71/-40.2,0.000000/0.699590/0.000000/0.714545,0.4/0.4/0.4,0,-1,30,1
villager1.X,213.1027/66.71/-30.68287,0.000000/0.815300/0.000000/0.579039,0.4000001/0.4/0.4000001,0,-1,30,1
villager1.X,216.0074/66.71/-3.494951,0.000000/-0.012205/0.000000/0.999926,0.4000002/0.4/0.4000002,1,6,12,1
villager1.X,225.4592/66.67/12.32321,0.000000/0.288641/0.000000/0.957437,0.4000001/0.4/0.4000001,0,-1,58,1
villager1.X,221.6386/66.71/-103.7511,0.000000/0.994452/0.000000/0.105188,0.4000001/0.4/0.4000001,0,-1,61,1
villager1.X,238.3276/66.71/-42.68105,0.000000/-0.691969/0.000000/0.721928,0.4/0.4/0.4,0,-1,60,1
villager1.X,218.0016/66.37/-54.01951,0.000000/0.291663/0.000000/0.956521,0.25/0.25/0.25,0,-1,64,1
villager1.X,225.88/66.42/-54.03,0.000000/-0.329927/0.000000/0.944007,0.25/0.25/0.25,0,-1,64,1
