name,pos,ang,sca
1st_ie.X,207.14/70.62/-69.67,0/0/0/1,0.4/0.4/0.4,0
coll,0.1000214/-0.7250023/-0.374999,0/0/0/1,3.5/3.5/3.5,1
1st_saku.X,269.85/71.07/-5.74,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,273.61/70.25999/-7.48,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,277.22/70.06/-9.15,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,280.92/70.06/-10.86,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
Bridge.X,152.9/64.45/-145.89,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
1st_saku.X,292.05/70.06/-16,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,295.74/70.06/-17.7,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,299.5/70.06/-19.44,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,303.3/70.06/-21.19,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,307.06/70.06/-22.93,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,310.83/70.43/-24.67,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,314.6/71.38/-26.41,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,92.95001/77.68/277.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,97.10999/77.68/277.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,101.2/77.68/277.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,105.35/77.68/277.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,109.46/77.68/277.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,113.55/77.68/277.64,0/0/0/1,1.5/1.5/1.5,0
Bridge.X,152.9/64.45/-158.26,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,152.9/64.45/-170.67,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,152.9/64.45/-183.14,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,152.9/64.45/-195.7,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,152.9/64.45/-208.03,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,152.9/64.45/-220.47,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,152.9/64.45/-232.95,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,145.53/64.45/-237.65,-0.5022194/0.4977708/0.4977707/0.5022194,2/2/1,0
coll,0/0/0.435,-0.5022194/0.4977708/0.4977707/0.5022194,2.8/13/1,1
1st_saku.X,266.11/71.7/-4.02,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
coll,-2.92/5.92/0.1,0/0.214494/0/0.9767253,45/30/1,1
1st_saku.X,288.35/70.06/-14.29,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
coll,13.52/1.86/0.07,0/0.214494/0/0.9767253,45/45/1,1
1st_saku.X,88.92999/77.68/277.64,0/0/0/1,1.5/1.5/1.5,0
coll,9.6/4.1/0.07333374,0/0/0/1,45/45/1,1
