name,pos,ang,sca,type,shopid,messeageid,showtitle
villager1.X,186.9/66.71/-57.3,0.000000/0.699590/0.000000/0.714545,0.4/0.4/0.4,0,-1,30,1
villager1.X,209.88/66.71/-84.88,0.000000/0.745839/0.000000/-0.666127,0.3999999/0.4/0.3999999,0,-1,30,1
villager1.X,242.9459/66.71/-75.02796,0.000000/0.991381/0.000000/0.131015,0.4000001/0.4/0.4000001,0,-1,66,1
villager1.X,241.0455/66.71/-47.79549,0.000000/0.073766/0.000000/0.997276,0.4000001/0.4/0.4000001,0,-1,67,1
villager1.X,233.04/66.71/-34.27,0.000000/0.645256/0.000000/0.763967,0.4/0.4/0.4,0,-1,30,1
villager1.X,216.0074/66.71/-3.494951,0.000000/-0.012205/0.000000/0.999926,0.4000001/0.4/0.4000001,1,7,90,1
villager1.X,218.0016/66.37/-54.01951,0.000000/0.291663/0.000000/0.956521,0.2500001/0.25/0.2500001,0,-1,64,1
villager1.X,228.9647/66.71/-9.937813,0.000000/-0.171418/0.000000/0.985198,0.4000002/0.4/0.4000002,0,-1,65,1
villager1.X,212.13/66.71/-110.24,0.000000/-0.302477/0.000000/-0.953157,0.3999999/0.4/0.3999999,0,-1,68,1
villager1.X,217.7044/66.71/-108.7588,0.000000/-0.038848/0.000000/-0.999245,0.4/0.4/0.4,0,-1,70,0
villager1.X,227.1653/66.71/-109.4852,0.000000/0.225535/0.000000/-0.974235,0.3999999/0.4/0.3999999,0,-1,69,1
villager1.X,223.6073/66.71/-23.29903,0.000000/-0.999612/0.000000/-0.027851,0.4000001/0.4/0.4000001,0,-1,72,1
