name,pos,ang,sca,hitCamera,coll
Castle.X,212.2181/89.7/-79.56563,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
Bridge1.X,216.8/59.6/22.1,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
block.X,278.7988/66.3/-15.4734,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,238.3104/66.3/-11.96552,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,197.8221/66.3/-8.457672,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,157.3338/66.3/-4.949768,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,275.2909/66.3/-55.96172,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,234.8026/66.3/-52.45385,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,194.3142/66.3/-48.94597,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,153.8259/66.3/-45.43811,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,271.783/66.3/-96.45004,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,231.2946/66.3/-92.94219,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,190.8064/66.3/-89.4343,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,150.318/66.3/-85.92642,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,268.2751/66.3/-136.9384,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,227.7868/66.3/-133.4305,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,187.2985/66.3/-129.9227,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,146.8102/66.3/-126.4148,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,264.7673/66.3/-177.4268,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,224.2789/66.3/-173.9189,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,183.7906/66.3/-170.411,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
block.X,143.3023/66.3/-166.9031,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
3rdHouse2.X,174.3/65.82/-64.3,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,173.4/65.53/-74.4,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,182.29/65.82/-84.8,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,191.9/65.53/-85.4,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,201.4/65.82/-86.5,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,211.1/65.53/-87.1,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,250.09/65.53/-11.89,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,220.56/65.82/-88.18,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,230.2/65.53/-88.77,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,239.93/65.82/-89.88,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,209.78/65.82/-27.9,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,229.14/65.82/-29.59,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,246.43/65.82/-51.19,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,159.14/65.53/-112.82,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,168.6/65.82/-113.9,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,178.24/65.53/-114.49,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,187.97/65.82/-115.6,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,198.63/65.82/-116.52,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,236.9/65.82/-119.9,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,208.24/65.53/-117.12,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,238.79/65.53/-30.45,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,248.9/65.82/-21.67,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,227.44/65.53/-118.82,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse3.X,205.3/66.2/-170.8,0.000000/0.999048/0.000000/-0.043619,1/1/1,0,0
3rdHouse2.X,217.74/65.82/-118.22,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,200.26/65.53/-27.11,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,256.27/65.82/-121.6,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse2.X,187/65.82/-25.9,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,246.54/65.53/-120.49,0.000000/0.043619/0.000000/0.999048,1/1/1,0,0
3rdHouse.X,176.8/65.53/-35.5,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,247.2/65.53/-41.7,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,176.03/65.82/-44.99,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,245.52/65.53/-60.67,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,244.7/65.82/-70.50002,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,175.12/65.53/-54.47,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,243.8/65.53/-80.60001,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,270.08/65.53/-74.43,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,269.31/65.82/-83.92,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,268.4/65.53/-93.4,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
