name,pos,ang,sca
1st_ie.X,-399/68.43/-19.91,0/0/0/1,0.4/0.4/0.4,0
coll,0.1000214/-0.7250023/-0.374999,0/0/0/1,3.5/3.5/3.5,1
1st_ie.X,-425.1/68.63/-5.6,0/-0.1563374/0/0.9877037,0.4/0.4/0.4,0
coll,0.1000214/-0.7250023/-0.374999,0/-0.1563374/0/0.9877037,3.5/3.5/3.5,1
Bridge.X,-435/64.66/-87.24,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-124.22,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-136.52,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-99.61001,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-111.91,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-148.81,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-74.94,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
