name,pos,ang,sca
1st_ie.X,-399/68.43/-19.91,0/0/0/1,0.4/0.4/0.4,0
coll,0.1000214/-0.7250023/-0.374999,0/0/0/1,3.5/3.5/3.5,1
1st_ie.X,-435.5911/68.63/-17.07376,0/-0.6593685/0/0.75182,0.4000003/0.4/0.4000003,0
coll,0.1000214/-0.7250023/-0.374999,0/-0.6593685/0/0.75182,3.500002/3.5/3.500002,1
1st_ie.X,-425.1/68.63/-5.6,0/-0.1563374/0/0.9877037,0.4/0.4/0.4,0
coll,0.1000214/-0.7250023/-0.374999,0/-0.1563374/0/0.9877037,3.5/3.5/3.5,1
Bridge.X,-435/64.66/-87.24,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-124.22,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-136.52,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-460.8498/66.8/-4.988832,-0.4898777/0.5099215/0.5099214/0.4898777,2/2/1,0
coll,0/0/0.435,-0.4898777/0.5099215/0.5099214/0.4898777,2.8/13/1,1
Bridge.X,-435/64.66/-74.94,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-99.61001,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-435/64.66/-111.91,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-497.8/66.8/-3.506608,-0.4898777/0.5099215/0.5099214/0.4898777,2/2/1,0
coll,0/0/0.435,-0.4898777/0.5099215/0.5099214/0.4898777,2.8/13/1,1
Bridge.X,-510.0902/66.8/-3.013688,-0.4898777/0.5099215/0.5099214/0.4898777,2/2/1,0
coll,0/0/0.435,-0.4898777/0.5099215/0.5099214/0.4898777,2.8/13/1,1
Bridge.X,-473.2099/66.8/-4.493016,-0.4898777/0.5099215/0.5099214/0.4898777,2/2/1,0
coll,0/0/0.435,-0.4898777/0.5099215/0.5099214/0.4898777,2.8/13/1,1
Bridge.X,-485.5/66.8/-4,-0.4898777/0.5099215/0.5099214/0.4898777,2/2/1,0
coll,0/0/0.435,-0.4898777/0.5099215/0.5099214/0.4898777,2.8/13/1,1
Bridge.X,-435/64.66/-148.81,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-448.5597/66.80002/-5.481736,-0.4898777/0.5099215/0.5099214/0.4898777,2/2/1,0
coll,0/0/0.435,-0.4898777/0.5099215/0.5099214/0.4898777,2.8/13/1,1
