name,pos,ang,sca
RockCave.X,0/68.6/-1223,0.0002059937/0/0,5/5/5
Yashi.X,0.82/68.27/1264,270/0/0,2.54/2.54/2.54
Yashi.X,-15.9/68.27/1264,270/0/0,2.54/2.540001/2.540001
Yashi.X,-4.7/68.27/1246.3,270/0/0,2.54/2.540001/2.540001
Yashi.X,12.1/68.27/1246.3,270/0/0,2.54/2.540001/2.540001
Yashi.X,45.1/68.27/1260,270/0/0,2.54/2.540001/2.540001
Yashi.X,28.3/68.27/1260,270/0/0,2.54/2.540001/2.540001
Yashi.X,17.1/68.27/1277.7,270/0/0,2.54/2.540001/2.540001
Yashi.X,33.8/68.27/1277.7,270/0/0,2.54/2.540001/2.540001
Yashi.X,-59.4/68.27/1287.8,270/0/0,2.54/2.540001/2.540001
Yashi.X,-76.1/68.27/1287.8,270/0/0,2.54/2.540001/2.540001
Yashi.X,-64.9/68.27/1270.1,270/0/0,2.54/2.540001/2.540001
Yashi.X,-48.1/68.27/1270.1,270/0/0,2.54/2.540001/2.540001
Yashi.X,-81.1/68.27/1256.4,270/0/0,2.54/2.540001/2.540001
Yashi.X,-97.9/68.27/1256.4,270/0/0,2.54/2.540001/2.540001
Yashi.X,-109.1/68.27/1274.1,270/0/0,2.54/2.540001/2.540001
Yashi.X,-92.4/68.27/1274.1,270/0/0,2.54/2.540001/2.540001
Yashi.X,-30.8/68.3/1321.3,270/0/0,2.54/2.540001/2.540001
Yashi.X,-47.5/68.3/1321.3,270/0/0,2.54/2.540001/2.540001
Yashi.X,-36.3/68.3/1303.6,270/0/0,2.54/2.540001/2.540001
Yashi.X,-19.5/68.3/1303.6,270/0/0,2.54/2.540001/2.540001
Yashi.X,13.5/68.3/1317.3,270/0/0,2.54/2.540001/2.540001
Yashi.X,-3.3/68.3/1317.3,270/0/0,2.54/2.540001/2.540001
Yashi.X,-14.5/68.3/1335,270/0/0,2.54/2.540001/2.540001
Yashi.X,2.2/68.3/1335,270/0/0,2.54/2.540001/2.540001
Yashi.X,95.4/68.3/1324.9,270/0/0,2.54/2.540001/2.540001
Yashi.X,78.7/68.3/1324.9,270/0/0,2.54/2.540001/2.540001
Yashi.X,89.9/68.3/1307.2,270/0/0,2.54/2.540001/2.540001
Yashi.X,106.7/68.3/1307.2,270/0/0,2.54/2.540001/2.540001
Yashi.X,73.7/68.3/1293.5,270/0/0,2.54/2.540001/2.540001
Yashi.X,56.9/68.3/1293.5,270/0/0,2.54/2.540001/2.540001
Yashi.X,45.7/68.3/1311.2,270/0/0,2.54/2.540001/2.540001
Yashi.X,62.4/68.3/1311.2,270/0/0,2.54/2.540001/2.540001
Yashi.X,86.7/68.3/1401.7,270/0/0,2.54/2.540001/2.540001
Yashi.X,70/68.3/1401.7,270/0/0,2.54/2.540001/2.540001
Yashi.X,81.2/68.3/1384,270/0/0,2.54/2.540001/2.540001
Yashi.X,98/68.3/1384,270/0/0,2.54/2.540001/2.540001
Yashi.X,131/68.3/1397.7,270/0/0,2.54/2.540001/2.540001
Yashi.X,114.2/68.3/1397.7,270/0/0,2.54/2.540001/2.540001
Yashi.X,103/68.3/1415.4,270/0/0,2.54/2.540001/2.540001
Yashi.X,119.7/68.3/1415.4,270/0/0,2.54/2.540001/2.540001
Yashi.X,26.5/68.3/1425.5,270/0/0,2.54/2.540001/2.540001
Yashi.X,9.8/68.3/1425.5,270/0/0,2.54/2.540001/2.540001
